name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
LendUp,"San Francisco, CA, USA",http://lendup.com,Sasha Orloff; Jacob Rosenberg,https://www.linkedin.com/in/sashaorloff/; https://www.linkedin.com/in/jakerosenberg/,Winter 2012,2012,https://www.ycombinator.com/companies/lendup,https://yc-oss.github.io/api/batches/winter-2012/lendup.json
Tilt,"San Francisco, CA, USA",http://tilt.com,James Beshara; Khaled Hussein,https://www.linkedin.com/in/jjbeshara/; https://www.linkedin.com/in/dsogkhaled/,Winter 2012,2012,https://www.ycombinator.com/companies/tilt,https://yc-oss.github.io/api/batches/winter-2012/tilt.json
Brace,"San Francisco, CA, USA",http://brace.io,,,Winter 2012,2012,https://www.ycombinator.com/companies/brace,https://yc-oss.github.io/api/batches/winter-2012/brace.json
Swiftype,"San Francisco, CA, USA; Remote",http://swiftype.com,Founded: 2011 Batch: Winter 2012 Team Size: 50 Status: Acquired Location: San Francisco; Quin Hoxie,https://www.linkedin.com/company/swiftype; https://www.linkedin.com/in/qhoxie,Winter 2012,2012,https://www.ycombinator.com/companies/swiftype,https://yc-oss.github.io/api/batches/winter-2012/swiftype.json
LVL6,"Palo Alto, CA, USA",http://lvl6.com,Alex Lin,https://www.linkedin.com/in/alin4,Winter 2012,2012,https://www.ycombinator.com/companies/lvl6,https://yc-oss.github.io/api/batches/winter-2012/lvl6.json
BarSense,"Mountain View, CA, USA",http://kytephone.com,Martin Drashkov,https://www.linkedin.com/in/martindrashkov,Winter 2012,2012,https://www.ycombinator.com/companies/barsense,https://yc-oss.github.io/api/batches/winter-2012/barsense.json
FarmLogs,"Ann Arbor, MI, USA; Remote",http://farmlogs.com,"Brad Koch; Founded: 2011 Batch: Winter 2012 Team Size: 5 Status: Acquired Location: Ann Arbor, MI",https://www.linkedin.com/in/brad-koch-05482540/; https://www.linkedin.com/company/farmlogs/,Winter 2012,2012,https://www.ycombinator.com/companies/farmlogs,https://yc-oss.github.io/api/batches/winter-2012/farmlogs.json
99dresses,"New York, NY, USA",http://99dresses.com,Nicole Durkin; Peter Delahunty,https://www.linkedin.com/in/nikkidurkin; https://www.linkedin.com/in/peterdelahunty/,Winter 2012,2012,https://www.ycombinator.com/companies/99dresses,https://yc-oss.github.io/api/batches/winter-2012/99dresses.json
Authy,"San Francisco, CA, USA",http://authy.com,Daniel Palacio; Gleb Chuvpilo,https://www.linkedin.com/in/danielpalacio; http://www.linkedin.com/in/chuvpilo,Winter 2012,2012,https://www.ycombinator.com/companies/authy,https://yc-oss.github.io/api/batches/winter-2012/authy.json
Flutter,"Santa Monica, CA, USA",http://flutterapp.com,Navneet Dalal; Mehul Nariyawala,https://www.linkedin.com/in/ndalal; https://www.linkedin.com/in/mehulnariyawala/,Winter 2012,2012,https://www.ycombinator.com/companies/flutter,https://yc-oss.github.io/api/batches/winter-2012/flutter.json
